UF,PIB_R$mi,PIB_per_capita_R$,IDHM_2021,Esperanca_vida,Mort_infantil_per_mil
AC,23676,28525,"0,71",75.3,15.5
AL,76066,24322,"0,684",73.3,13.8
AM,145140,36827,"0,7",73.0,16.0
AP,23614,32194,"0,688",75.0,18.1
BA,402647,28483,"0,691",74.5,14.0
CE,213601,24296,"0,734",74.8,12.0
DF,328790,116713,"0,814",79.9,9.6
ES,182549,47619,"0,771",78.9,10.8
GO,318586,45156,"0,737",74.9,12.7
MA,139789,20633,"0,676",71.9,14.0
MT,255527,69839,"0,736",75.3,13.5
MS,166407,60365,"0,742",76.7,13.5
MG,906731,44147,"0,774",77.4,5.8
PA,236142,29095,"0,69",73.0,14.4
PB,86094,21662,"0,698",74.6,13.2
PR,614611,53710,"0,769",78.4,10.8
PE,245828,27139,"0,719",75.6,12.6
PI,72835,22279,"0,69",71.9,14.2
RJ,1153512,71850,"0,762",77.8,6.5
RN,93819,28409,"0,728",76.0,13.6
RS,593634,54559,"0,771",78.0,3.6
RO,66795,42248,"0,7",72.2,12.0
RR,21095,33153,"0,699",72.9,17.8
SC,466274,61274,"0,792",80.4,9.8
SP,3130333,70471,"0,806",79.4,6.6
SE,57372,25965,"0,702",73.8,17.0
TO,58209,38512,"0,731",74.6,9.5
